Date,Views
2021-04-22,0
2021-04-23,0
2021-04-24,491
2021-04-25,117
2021-04-26,54
2021-04-27,794
2021-04-28,738
2021-04-29,1695
2021-04-30,925
2021-05-01,220
2021-05-02,176
2021-05-03,85
2021-05-04,39
2021-05-05,100
2021-05-06,45
2021-05-07,40
2021-05-08,38
2021-05-09,35
2021-05-10,12
2021-05-11,17
2021-05-12,18
2021-05-13,14
2021-05-14,29
2021-05-15,17
2021-05-16,175
2021-05-17,108
2021-05-18,56
2021-05-19,32
2021-05-20,50
2021-05-21,36
2021-05-22,45
2021-05-23,54
2021-05-24,35
2021-05-25,28
2021-05-26,254
2021-05-27,68
2021-05-28,67
2021-05-29,425
2021-05-30,158
2021-05-31,112
2021-06-01,55
2021-06-02,61
2021-06-03,53
2021-06-04,18
2021-06-05,37
2021-06-06,42
2021-06-07,50
2021-06-08,39
2021-06-09,30
2021-06-10,21
2021-06-11,13
2021-06-12,50
2021-06-13,40
2021-06-14,27
2021-06-15,63
2021-06-16,55
2021-06-17,35
2021-06-18,20
2021-06-19,28
2021-06-20,55
2021-06-21,55
2021-06-22,22
2021-06-23,21
2021-06-24,36
2021-06-25,23
2021-06-26,34
2021-06-27,22
2021-06-28,22
2021-06-29,31
2021-06-30,22
2021-07-01,23
2021-07-02,40
2021-07-03,22
2021-07-04,28
2021-07-05,15
2021-07-06,19
2021-07-07,38
2021-07-08,11
2021-07-09,22
2021-07-10,119
2021-07-11,69
2021-07-12,42
2021-07-13,29
2021-07-14,21
2021-07-15,14
2021-07-16,28
2021-07-17,26
2021-07-18,27
2021-07-19,33
2021-07-20,36
2021-07-21,38
2021-07-22,21
2021-07-23,25
2021-07-24,17
2021-07-25,22
2021-07-26,23
2021-07-27,22
2021-07-28,11
2021-07-29,16
2021-07-30,10
2021-07-31,21
2021-08-01,21
2021-08-02,86
2021-08-03,30
2021-08-04,236
2021-08-05,171
2021-08-06,23
2021-08-07,22
2021-08-08,18
2021-08-09,44
2021-08-10,28
2021-08-11,52
2021-08-12,37
2021-08-13,25
2021-08-14,19
2021-08-15,15
2021-08-16,39
2021-08-17,214
2021-08-18,59
2021-08-19,66
2021-08-20,37
2021-08-21,48
2021-08-22,60
2021-08-23,52
2021-08-24,39
2021-08-25,18
2021-08-26,32
2021-08-27,78
2021-08-28,49
2021-08-29,21
2021-08-30,68
2021-08-31,75
2021-09-01,68
2021-09-02,60
2021-09-03,130
2021-09-04,278
2021-09-05,119
2021-09-06,68
2021-09-07,34
